epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,233.129,0.8972,3.18048,1.23504,0.78511,0.57726,0.65623,0.56564,0.49918,1.65343,0.98645,0.067078,0.000332545,0.000332545
2,448.479,0.78525,1.74573,1.18468,0.88661,0.78606,0.85971,0.78084,0.37229,0.88132,0.89633,0.0340714,0.000659286,0.000659286
3,1053.51,0.68287,1.14403,1.10043,0.95131,0.84211,0.9168,0.8483,0.32983,0.56926,0.85643,0.00105823,0.000979428,0.000979428
4,7817.78,0.65738,0.88051,1.06692,0.91837,0.90329,0.92908,0.86586,0.32435,0.4163,0.84313,0.0009703,0.0009703,0.0009703
5,8029.25,0.5799,0.73979,1.01726,0.95877,0.88683,0.94379,0.88445,0.3131,0.34816,0.83304,0.0009604,0.0009604,0.0009604
6,8237.77,0.58736,0.67263,1.02129,0.96751,0.89805,0.94814,0.89386,0.30614,0.33567,0.83158,0.0009505,0.0009505,0.0009505
7,8446.19,0.58349,0.64001,1.02348,0.96726,0.91798,0.96386,0.90036,0.3151,0.28572,0.83173,0.0009406,0.0009406,0.0009406
8,8657.22,0.5268,0.57743,0.98128,0.99019,0.91157,0.9661,0.90487,0.29842,0.27433,0.82288,0.0009307,0.0009307,0.0009307
9,8862.97,0.55628,0.54006,1.002,0.98288,0.91256,0.96092,0.90179,0.31579,0.2835,0.83352,0.0009208,0.0009208,0.0009208
10,9070.34,0.54198,0.52399,0.98369,0.98976,0.91442,0.96465,0.91204,0.30893,0.2789,0.8287,0.0009109,0.0009109,0.0009109
11,9275.09,0.5374,0.5245,1.00255,0.98609,0.92354,0.96697,0.91023,0.29496,0.25589,0.83197,0.000901,0.000901,0.000901
12,9477.16,0.52191,0.50483,0.98413,0.98469,0.92086,0.96062,0.90895,0.29725,0.2698,0.82271,0.0008911,0.0008911,0.0008911
13,9679.62,0.51073,0.48098,0.97244,0.97546,0.93648,0.96804,0.90548,0.29599,0.2574,0.81833,0.0008812,0.0008812,0.0008812
14,9884.89,0.54297,0.49648,0.9901,0.98292,0.93332,0.96864,0.92227,0.2921,0.26055,0.81884,0.0008713,0.0008713,0.0008713
15,10085.1,0.53087,0.46335,0.98563,0.9833,0.93204,0.96392,0.92387,0.26598,0.26119,0.80531,0.0008614,0.0008614,0.0008614
16,10293.8,0.50844,0.46737,0.96028,0.98055,0.94145,0.96946,0.92514,0.28839,0.2519,0.81374,0.0008515,0.0008515,0.0008515
17,10497.8,0.50413,0.45658,0.95711,0.98135,0.93616,0.96924,0.92313,0.28664,0.24065,0.81733,0.0008416,0.0008416,0.0008416
18,10702.4,0.47992,0.42733,0.94118,0.98497,0.93369,0.97104,0.91887,0.29892,0.24068,0.81815,0.0008317,0.0008317,0.0008317
19,10910.4,0.48785,0.42894,0.93861,0.98097,0.91327,0.96689,0.91716,0.2853,0.25519,0.81117,0.0008218,0.0008218,0.0008218
20,11093.5,0.46819,0.41566,0.94268,0.97805,0.93847,0.97588,0.92398,0.29726,0.24403,0.82176,0.0008119,0.0008119,0.0008119
21,11278.9,0.49406,0.45727,0.95664,0.98597,0.94396,0.97536,0.92552,0.29328,0.23177,0.81691,0.000802,0.000802,0.000802
22,11459.3,0.46298,0.39219,0.93297,0.98714,0.95032,0.97422,0.92862,0.27516,0.23107,0.81017,0.0007921,0.0007921,0.0007921
23,11645.3,0.47507,0.41481,0.94848,0.99081,0.94596,0.978,0.93767,0.26749,0.22353,0.80483,0.0007822,0.0007822,0.0007822
24,11829,0.47053,0.40769,0.95,0.97585,0.94007,0.97159,0.92513,0.27893,0.25629,0.81273,0.0007723,0.0007723,0.0007723
25,12012.3,0.47638,0.42765,0.94768,0.98588,0.94539,0.97197,0.92769,0.27739,0.25372,0.80948,0.0007624,0.0007624,0.0007624
26,12197.6,0.46478,0.40377,0.95216,0.99198,0.92976,0.97412,0.92942,0.26549,0.23257,0.81146,0.0007525,0.0007525,0.0007525
27,12421.5,0.47204,0.41381,0.94492,0.98032,0.93585,0.97181,0.92414,0.27451,0.24215,0.81317,0.0007426,0.0007426,0.0007426
28,12635.3,0.44864,0.39973,0.92946,0.995,0.92162,0.97401,0.92797,0.28523,0.22929,0.81476,0.0007327,0.0007327,0.0007327
29,12862.6,0.47659,0.40918,0.94418,0.96485,0.93649,0.97419,0.92697,0.27126,0.23931,0.81045,0.0007228,0.0007228,0.0007228
30,13076.3,0.46769,0.3926,0.92984,0.97684,0.94076,0.97491,0.92579,0.27028,0.23369,0.81115,0.0007129,0.0007129,0.0007129
31,13244.5,0.44459,0.37747,0.92516,0.97829,0.94331,0.9715,0.92791,0.27415,0.22792,0.8068,0.000703,0.000703,0.000703
32,13430.8,0.45375,0.38081,0.93191,0.99091,0.92791,0.9739,0.92941,0.28148,0.23036,0.80753,0.0006931,0.0006931,0.0006931
33,13629.1,0.4456,0.38067,0.91909,0.99116,0.94872,0.97624,0.93941,0.26524,0.21969,0.8058,0.0006832,0.0006832,0.0006832
34,13833.2,0.43723,0.3676,0.91976,0.98638,0.94328,0.97425,0.92625,0.27975,0.21526,0.80973,0.0006733,0.0006733,0.0006733
35,14037,0.44178,0.36048,0.92812,0.9872,0.94002,0.97608,0.92929,0.27504,0.22699,0.81273,0.0006634,0.0006634,0.0006634
36,14243.1,0.44148,0.36343,0.92506,0.99365,0.9417,0.97635,0.93123,0.26318,0.22267,0.80683,0.0006535,0.0006535,0.0006535
37,14440.2,0.42515,0.35583,0.9194,0.99609,0.93568,0.97588,0.93161,0.26159,0.22007,0.80256,0.0006436,0.0006436,0.0006436
38,14616.6,0.42083,0.35341,0.91309,0.99257,0.93822,0.97771,0.93593,0.2556,0.21208,0.80112,0.0006337,0.0006337,0.0006337
39,14809,0.45014,0.37771,0.93737,0.97626,0.94374,0.97538,0.93241,0.27074,0.23509,0.80406,0.0006238,0.0006238,0.0006238
40,15023.6,0.43863,0.35884,0.92821,0.98745,0.94401,0.97609,0.93733,0.26006,0.20497,0.80645,0.0006139,0.0006139,0.0006139
41,15246.5,0.44752,0.37213,0.93365,0.99102,0.94309,0.9769,0.93464,0.25758,0.20959,0.80371,0.000604,0.000604,0.000604
42,15461.8,0.43361,0.35226,0.92782,0.99722,0.93943,0.9776,0.93787,0.25999,0.20418,0.80059,0.0005941,0.0005941,0.0005941
43,15679.4,0.41357,0.33306,0.918,0.99786,0.94386,0.9788,0.93853,0.23809,0.18945,0.79358,0.0005842,0.0005842,0.0005842
44,15878,0.42883,0.35513,0.92618,0.99509,0.94616,0.97864,0.94161,0.24502,0.20227,0.80021,0.0005743,0.0005743,0.0005743
45,16199.6,0.40963,0.33466,0.92366,0.98266,0.94884,0.97794,0.93883,0.2671,0.20535,0.8023,0.0005644,0.0005644,0.0005644
46,16877,0.42888,0.34916,0.9335,0.99157,0.944,0.97767,0.93699,0.25807,0.19864,0.80188,0.0005545,0.0005545,0.0005545
